Run,Train_Accuracy,Train_Precision,Train_Recall,Train_F1_Score,Train_Average_Cost,Train_AEC,Train_Precision_2,Train_Recall_2,Train_TP_2,Train_TN_2,Train_FN_2,Train_FP_2,Train_FN_2_rate,Train_FP_2_rate,Train_TP_2_rate,Train_FP_0_2,Train_FP_1_2,Train_Precision_1,Train_Recall_1,Train_TP_1,Train_TN_1,Train_FN_1,Train_FP_1,Train_FN_1_rate,Train_FP_1_rate,Train_TP_1_rate,Train_FP_0_1,Train_FP_2_1,Train_Precision_0,Train_Recall_0,Train_TP_0,Train_TN_0,Train_FN_0,Train_FP_0,Train_FN_0_rate,Train_FP_0_rate,Train_TP_0_rate,Train_FP_1_0,Train_FP_2_0,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1_Score,Validation_Average_Cost,Validation_AEC,Validation_Precision_2,Validation_Recall_2,Validation_TP_2,Validation_TN_2,Validation_FN_2,Validation_FP_2,Validation_FN_2_rate,Validation_FP_2_rate,Validation_TP_2_rate,Validation_FP_0_2,Validation_FP_1_2,Validation_Precision_1,Validation_Recall_1,Validation_TP_1,Validation_TN_1,Validation_FN_1,Validation_FP_1,Validation_FN_1_rate,Validation_FP_1_rate,Validation_TP_1_rate,Validation_FP_0_1,Validation_FP_2_1,Validation_Precision_0,Validation_Recall_0,Validation_TP_0,Validation_TN_0,Validation_FN_0,Validation_FP_0,Validation_FN_0_rate,Validation_FP_0_rate,Validation_TP_0_rate,Validation_FP_1_0,Validation_FP_2_0,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_Average_Cost,Test_AEC,Test_Precision_2,Test_Recall_2,Test_TP_2,Test_TN_2,Test_FN_2,Test_FP_2,Test_FN_2_rate,Test_FP_2_rate,Test_TP_2_rate,Test_FP_0_2,Test_FP_1_2,Test_Precision_1,Test_Recall_1,Test_TP_1,Test_TN_1,Test_FN_1,Test_FP_1,Test_FN_1_rate,Test_FP_1_rate,Test_TP_1_rate,Test_FP_0_1,Test_FP_2_1,Test_Precision_0,Test_Recall_0,Test_TP_0,Test_TN_0,Test_FN_0,Test_FP_0,Test_FN_0_rate,Test_FP_0_rate,Test_TP_0_rate,Test_FP_1_0,Test_FP_2_0
test_runs_CE,81.3831,0.7950,0.8210,0.8040,1.1761,2.1022,0.8057,0.6908,279.1000,692.6000,124.9000,67.4000,0.3092,0.0887,0.6908,10.4000,57.0000,0.8472,0.8749,515.3000,482.0000,73.7000,93.0000,0.1251,0.1617,0.8749,7.7000,85.3000,0.7316,0.8942,152.9000,936.7000,18.1000,56.3000,0.1058,0.0567,0.8942,16.7000,39.6000,76.4945,0.7550,0.7570,0.7540,1.5599,2.2292,0.7187,0.6396,85.7000,220.4000,48.3000,33.6000,0.3604,0.1323,0.6396,8.8000,24.8000,0.7966,0.8421,165.9000,148.6000,31.1000,42.4000,0.1579,0.2220,0.8421,3.0000,39.4000,0.7496,0.7930,45.2000,315.8000,11.8000,15.2000,0.2070,0.0459,0.7930,6.3000,8.9000,75.5526,0.7210,0.7320,0.7260,1.8090,2.4925,0.6915,0.6807,91.9000,212.9000,43.1000,41.1000,0.3193,0.1618,0.6807,16.1000,25.0000,0.8394,0.8274,163.0000,160.8000,34.0000,31.2000,0.1726,0.1625,0.8274,1.9000,29.3000,0.6317,0.6842,39.0000,309.2000,18.0000,22.8000,0.3158,0.0687,0.6842,9.0000,13.8000
test_runs_CE_weighted,76.3573,0.7350,0.7940,0.7420,1.4573,2.3690,0.7722,0.6220,251.3000,685.8000,152.7000,74.2000,0.3780,0.0976,0.6220,5.6000,68.6000,0.8645,0.8061,474.8000,500.6000,114.2000,74.4000,0.1939,0.1294,0.8061,2.7000,71.7000,0.5628,0.9515,162.7000,866.4000,8.3000,126.6000,0.0485,0.1275,0.9515,45.6000,81.0000,74.4587,0.7140,0.7590,0.7280,1.6873,2.4132,0.7108,0.6291,84.3000,219.7000,49.7000,34.3000,0.3709,0.1350,0.6291,6.5000,27.8000,0.8268,0.7898,155.6000,158.4000,41.4000,32.6000,0.2102,0.1707,0.7898,1.5000,31.1000,0.6041,0.8596,49.0000,298.8000,8.0000,32.2000,0.1404,0.0973,0.8596,13.6000,18.6000,72.9822,0.6940,0.7430,0.7040,1.8634,2.6762,0.6952,0.6600,89.1000,214.9000,45.9000,39.1000,0.3400,0.1539,0.6600,10.1000,29.0000,0.8591,0.7548,148.7000,167.6000,48.3000,24.4000,0.2452,0.1271,0.7548,0.8000,23.6000,0.5261,0.8088,46.1000,290.4000,10.9000,41.6000,0.1912,0.1253,0.8088,19.3000,22.3000
test_runs_AEC_CM1,50.6010,0.1700,0.3300,0.2200,1.4820,1.4820,,0.0000,0.0000,760.0000,404.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5060,1.0000,589.0000,0.0000,0.0000,575.0000,0.0000,1.0000,1.0000,171.0000,404.0000,,0.0000,0.0000,993.0000,171.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,50.7730,0.1700,0.3300,0.2200,1.4770,1.4770,,0.0000,0.0000,254.0000,134.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5077,1.0000,197.0000,0.0000,0.0000,191.0000,0.0000,1.0000,1.0000,57.0000,134.0000,,0.0000,0.0000,331.0000,57.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,50.6430,0.1700,0.3300,0.2200,1.4810,1.4810,,0.0000,0.0000,254.0000,135.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5064,1.0000,197.0000,0.0000,0.0000,192.0000,0.0000,1.0000,1.0000,57.0000,135.0000,,0.0000,0.0000,332.0000,57.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
test_runs_RWWCE1_CM1,73.3247,0.8080,0.6890,0.6960,0.9010,1.3360,0.9722,0.3851,155.6000,755.5000,248.4000,4.5000,0.6149,0.0059,0.3851,2.8000,1.7000,0.6820,0.9825,578.7000,305.1000,10.3000,269.9000,0.0175,0.4694,0.9825,49.0000,220.9000,0.7696,0.6971,119.2000,956.9000,51.8000,36.1000,0.3029,0.0364,0.6971,8.6000,27.5000,75.2318,0.8190,0.7050,0.7260,0.9013,1.3109,0.9241,0.4604,61.7000,248.9000,72.3000,5.1000,0.5396,0.0201,0.4604,1.4000,3.7000,0.6968,0.9690,190.9000,107.9000,6.1000,83.1000,0.0310,0.4351,0.9690,16.3000,66.8000,0.8331,0.6895,39.3000,323.1000,17.7000,7.9000,0.3105,0.0239,0.6895,2.4000,5.5000,70.6940,0.7580,0.6520,0.6690,1.1832,1.5645,0.8348,0.4052,54.7000,243.1000,80.3000,10.9000,0.5948,0.0429,0.4052,3.0000,7.9000,0.6670,0.9421,185.6000,99.3000,11.4000,92.7000,0.0579,0.4828,0.9421,19.3000,73.4000,0.7722,0.6088,34.7000,321.6000,22.3000,10.4000,0.3912,0.0313,0.6088,3.5000,6.9000
test_runs_RWWCE2_CM1,77.3195,0.7470,0.8000,0.7500,1.2705,2.1088,0.8152,0.6015,243.0000,704.8000,161.0000,55.2000,0.3985,0.0726,0.6015,4.7000,50.5000,0.8506,0.8375,493.3000,488.3000,95.7000,86.7000,0.1625,0.1508,0.8375,2.6000,84.1000,0.5732,0.9573,163.7000,870.9000,7.3000,122.1000,0.0427,0.1230,0.9573,45.2000,76.9000,74.8969,0.7200,0.7580,0.7300,1.5158,2.1839,0.7420,0.5933,79.5000,226.3000,54.5000,27.7000,0.4067,0.1091,0.5933,6.0000,21.7000,0.8076,0.8234,162.2000,152.3000,34.8000,38.7000,0.1766,0.2026,0.8234,2.1000,36.6000,0.6124,0.8579,48.9000,300.0000,8.1000,31.0000,0.1421,0.0937,0.8579,13.1000,17.9000,74.2931,0.7050,0.7510,0.7160,1.6509,2.4351,0.7304,0.6407,86.5000,222.0000,48.5000,32.0000,0.3593,0.1260,0.6407,9.4000,22.6000,0.8476,0.7898,155.6000,164.0000,41.4000,28.0000,0.2102,0.1458,0.7898,0.7000,27.3000,0.5399,0.8228,46.9000,292.0000,10.1000,40.0000,0.1772,0.1205,0.8228,18.8000,21.2000
test_runs_RWWCE3_CM1,81.2456,0.7950,0.8160,0.7990,1.0978,1.9610,0.8269,0.6673,269.6000,703.4000,134.4000,56.6000,0.3327,0.0745,0.6673,9.8000,46.8000,0.8385,0.8869,522.4000,474.3000,66.6000,100.7000,0.1131,0.1751,0.8869,7.5000,93.2000,0.7173,0.8988,153.7000,932.0000,17.3000,61.0000,0.1012,0.0614,0.8988,19.8000,41.2000,76.3144,0.7500,0.7560,0.7500,1.4776,2.1026,0.7357,0.6209,83.2000,224.1000,50.8000,29.9000,0.3791,0.1177,0.6209,7.7000,22.2000,0.7875,0.8497,167.4000,145.8000,29.6000,45.2000,0.1503,0.2366,0.8497,3.8000,41.4000,0.7311,0.7982,45.5000,314.2000,11.5000,16.8000,0.2018,0.0508,0.7982,7.4000,9.4000,76.0154,0.7260,0.7350,0.7260,1.6891,2.3541,0.7102,0.6637,89.6000,217.4000,45.4000,36.6000,0.3363,0.1441,0.6637,15.4000,21.2000,0.8327,0.8452,166.5000,158.5000,30.5000,33.5000,0.1548,0.1745,0.8452,2.0000,31.5000,0.6313,0.6947,39.6000,308.8000,17.4000,23.2000,0.3053,0.0699,0.6947,9.3000,13.9000
test_runs_constraint_aware_stepwise_CE,62.8951,0.7110,0.6680,0.5450,1.4937,1.5777,0.9891,0.1644,66.4000,759.3000,337.6000,0.7000,0.8356,0.0009,0.1644,0.5000,0.2000,0.7546,0.8407,495.2000,413.9000,93.8000,161.1000,0.1593,0.2802,0.8407,0.0000,161.1000,0.3875,0.9971,170.5000,722.9000,0.5000,270.1000,0.0029,0.2720,0.9971,93.6000,176.5000,62.5774,0.6960,0.6530,0.5340,1.5225,1.6033,0.9485,0.1425,19.1000,253.0000,114.9000,1.0000,0.8575,0.0039,0.1425,0.0000,1.0000,0.7406,0.8563,168.7000,131.9000,28.3000,59.1000,0.1437,0.3094,0.8563,2.0000,57.1000,0.3933,0.9649,55.0000,245.9000,2.0000,85.1000,0.0351,0.2571,0.9649,27.3000,57.8000,59.8716,0.6520,0.6400,0.5200,1.6542,1.7473,0.8504,0.1607,21.7000,250.1000,113.3000,3.9000,0.8393,0.0154,0.1607,0.9000,3.0000,0.7384,0.7929,156.2000,136.6000,40.8000,55.4000,0.2071,0.2885,0.7929,1.1000,54.3000,0.3630,0.9649,55.0000,235.2000,2.0000,96.8000,0.0351,0.2916,0.9649,37.8000,59.0000
test_runs_constraint_aware_stepwise_WCE,60.4294,0.6990,0.6460,0.5100,1.5776,1.6484,0.9874,0.1153,46.6000,759.4000,357.4000,0.6000,0.8847,0.0008,0.1153,0.5000,0.1000,0.7371,0.8256,486.3000,401.3000,102.7000,173.7000,0.1744,0.3021,0.8256,0.0000,173.7000,0.3745,0.9971,170.5000,706.7000,0.5000,286.3000,0.0029,0.2883,0.9971,102.6000,183.7000,60.4897,0.6820,0.6370,0.5030,1.5809,1.6332,0.9422,0.0978,13.1000,253.2000,120.9000,0.8000,0.9022,0.0031,0.0978,0.0000,0.8000,0.7218,0.8457,166.6000,126.7000,30.4000,64.3000,0.1543,0.3366,0.8457,2.0000,62.3000,0.3853,0.9649,55.0000,242.8000,2.0000,88.2000,0.0351,0.2665,0.9649,29.6000,58.6000,57.5321,0.6230,0.6180,0.4830,1.7362,1.8021,0.7937,0.1052,14.2000,250.3000,120.8000,3.7000,0.8948,0.0146,0.1052,0.8000,2.9000,0.7200,0.7848,154.6000,131.7000,42.4000,60.3000,0.2152,0.3141,0.7848,1.2000,59.1000,0.3537,0.9649,55.0000,230.8000,2.0000,101.2000,0.0351,0.3048,0.9649,39.5000,61.7000
Mean,70.4445,0.6825,0.6955,0.6332,1.3070,1.8231,0.8812,0.4058,163.9500,727.6000,240.0500,32.4000,0.5942,0.0426,0.4058,4.2875,28.1125,0.7601,0.8818,519.3750,383.1875,69.6250,191.8125,0.1182,0.3336,0.8818,30.0625,161.7500,0.5881,0.7991,136.6500,873.1875,34.3500,119.8125,0.2009,0.1207,0.7991,41.5125,78.3000,68.9046,0.6632,0.6694,0.6181,1.4653,1.8692,0.8174,0.3979,53.3250,237.4500,80.6750,16.5500,0.6021,0.0652,0.3979,3.8000,12.7500,0.7357,0.8720,171.7875,121.4500,25.2125,69.5500,0.1280,0.3641,0.8720,10.9625,58.5875,0.6156,0.7410,42.2375,296.4500,14.7625,34.5500,0.2590,0.1044,0.7410,12.4625,22.0875,67.1980,0.6311,0.6501,0.5955,1.6334,2.0691,0.7580,0.4145,55.9625,233.0875,79.0375,20.9125,0.5855,0.0823,0.4145,6.9625,13.9500,0.7513,0.8421,165.9000,127.3125,31.1000,64.6875,0.1579,0.3369,0.8421,10.5000,54.1875,0.5454,0.6936,39.5375,290.0000,17.4625,42.0000,0.3064,0.1265,0.6936,17.1500,24.8500
Std,11.1988,0.2110,0.1638,0.1999,0.2355,0.3627,0.0967,0.2784,112.4638,33.6410,112.4638,33.6410,0.2784,0.0443,0.2784,4.1219,30.1801,0.1219,0.0724,42.6582,167.8015,42.6582,167.8015,0.0724,0.2918,0.0724,59.2110,111.4894,0.1617,0.3369,57.6125,106.3762,57.6125,106.3762,0.3369,0.1071,0.3369,38.4869,67.9782,9.7020,0.2038,0.1458,0.1893,0.2378,0.4090,0.1137,0.2718,36.4267,16.0498,36.4267,16.0498,0.2718,0.0632,0.2718,3.8064,12.3430,0.1025,0.0729,14.3690,51.7101,14.3690,51.7101,0.0729,0.2707,0.0729,19.2405,33.1082,0.1738,0.3130,17.8403,33.9015,17.8403,33.9015,0.3130,0.1024,0.3130,10.9265,23.1027,9.7449,0.1911,0.1396,0.1793,0.2152,0.4688,0.0672,0.2870,38.7391,17.8511,38.7391,17.8511,0.2870,0.0703,0.2870,6.6481,11.6447,0.1216,0.0855,16.8514,56.2670,16.8514,56.2670,0.0855,0.2931,0.0855,19.8238,37.2570,0.1509,0.3083,17.5758,37.7898,17.5758,37.7898,0.3083,0.1138,0.3083,14.8410,23.0704
